srp,orgaoEntidade,anoCompra,sequencialCompra,dataInclusao,dataPublicacaoPncp,dataAtualizacao,numeroCompra,unidadeOrgao,amparoLegal,dataAberturaProposta,dataEncerramentoProposta,informacaoComplementar,processo,objetoCompra,linkSistemaOrigem,justificativaPresencial,unidadeSubRogada,orgaoSubRogado,valorTotalHomologado,numeroControlePNCP,modalidadeId,modoDisputaId,modoDisputaNome,usuarioNome,valorTotalEstimado,modalidadeNome,situacaoCompraId,situacaoCompraNome,tipoInstrumentoConvocatorioCodigo,tipoInstrumentoConvocatorioNome
False,"{'cnpj': '95591764000105', 'razaoSocial': 'UNIVERSIDADE FEDERAL DE SANTA MARIA', 'poderId': 'E', 'esferaId': 'F'}",2023,1,2023-01-27T15:36:54,2023-01-27T15:36:54,2023-01-27T15:36:54,00013,"{'ufNome': 'Rio Grande do Sul', 'codigoUnidade': '153164', 'nomeUnidade': 'UNIVERSIDADE FEDERAL DE STA.MARIA/RS', 'ufSigla': 'RS', 'municipioNome': 'Santa Maria', 'codigoIbge': '4316907'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,Material utilizado em projeto em desenvolvimento.,23081009452202302,"Importação direta de um Titulador Karl Fischer, junto ao exportador METROHM AG, para atender o Projeto de Pesquisa Estudo da qualidade do etanol do milho e melhoria no sistema de injeção de combustível visando aumento de desempenho em motores ciclo otto.",https://www.comprasnet.gov.br/acesso.asp?url=/proposta-153164-06-00013-2023,,,,50000.0,95591764000105-1-000001/2023,8,5,Não se aplica,Compras.gov.br,50000.0,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,17,2023-01-30T09:18:48,2023-01-30T09:18:48,2023-01-30T09:18:48,14191,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,Melhor empresa do mercado.,01300014191202299,Micro cromatógrafo gasoso.,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-14191-2023,,,,,33654831000136-1-000017/2023,8,5,Não se aplica,Compras.gov.br,168420.0,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,18,2023-01-30T09:27:50,2023-01-30T09:27:50,2023-01-30T09:27:50,14199,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,Por ser uma fornecedora líder de equipamentos profissionais.,01300014199202255,Detector de radônio rad7.,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-14199-2023,,,,80233.96,33654831000136-1-000018/2023,8,5,Não se aplica,Compras.gov.br,80233.96,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,20,2023-01-30T10:29:57,2023-01-30T10:29:57,2023-01-30T10:29:57,14255,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,O exportador tem exclusividade na venda de peças e equipamentos.,01300014255202251,Guia de onda coplonar cpw ppms ip ishe.,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-14255-2023,,,,31596.0,33654831000136-1-000020/2023,8,5,Não se aplica,Compras.gov.br,31596.0,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,21,2023-02-03T15:10:05,2023-02-03T15:10:05,2023-02-03T15:10:05,14190,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,"Por se tratar de uma tecnologia relativamente recente, não existem muitos fornecedores de sistemas fNIRS  disponíveis.",01300014190202244,Sensores.,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-14190-2023,,,,240451.91,33654831000136-1-000021/2023,8,5,Não se aplica,Compras.gov.br,240451.91,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,22,2023-02-03T15:19:38,2023-02-03T15:19:38,2023-02-03T15:19:38,00220,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,"A compra é essencial, e visa a realização de ensaios de hidrometalurgia. Para desenvolver estudos na área de  metalurgia",01300000220202316,Reator de Bancada série 4560.,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-00220-2023,,,,361624.34,33654831000136-1-000022/2023,8,5,Não se aplica,Compras.gov.br,361624.34,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,23,2023-02-03T15:29:07,2023-02-03T15:29:07,2023-02-03T15:29:07,00202,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,A escolha da Parr Instrument Company deve-se às especificações técnicas,01300000202202334,Peças para reatores de bancada que visam a realização de ensaios de hidromatelurgia,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-00202-2023,,,,38846.68,33654831000136-1-000023/2023,8,5,Não se aplica,Compras.gov.br,38846.68,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,24,2023-02-06T09:54:07,2023-02-06T09:54:07,2023-02-06T09:54:07,00208,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,"Fonte original, a ser fornecida pelo fabricante do sistema de microanálise química Bruker Quantax 800.",01300000208202310,Componente eletrônico (peça de reposição) microscópio. ,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-00208-2023,,,,13248.0,33654831000136-1-000024/2023,8,5,Não se aplica,Compras.gov.br,13248.0,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,25,2023-02-06T10:02:50,2023-02-06T10:02:50,2023-02-06T10:02:50,13396,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,A Agilent é a única fabricante que oferece o espectrômetro de emissão óptica com plasma induzido por micro-ondas,01300013396202257,Espectrômetro de emissão óptica com plasma induzido por micro-ondas.,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-13396-2023,,,,292810.76,33654831000136-1-000025/2023,8,5,Não se aplica,Compras.gov.br,292810.76,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,27,2023-02-15T16:16:55,2023-02-15T16:16:55,2023-02-15T16:16:55,13103,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,Recorro a importação via CNPq pelo fato do bem a ser adquirido é de pequeno porte e não tem disponível no Brasil,01300013103202231,Reator,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-13103-2023,,,,3277.34,33654831000136-1-000027/2023,8,5,Não se aplica,Compras.gov.br,3277.34,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '86900545000170', 'razaoSocial': 'AGENCIA ESPACIAL BRASILEIRA - AEB', 'poderId': 'E', 'esferaId': 'F'}",2023,9,2023-02-16T09:12:31,2023-02-16T09:12:31,2023-02-16T09:12:31,00007,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '203001', 'nomeUnidade': 'AGENCIA ESPACIAL BRASILEIRA', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,"Quando para produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia.",1350.1219/2021-51,"Contratação de empresa para fabricação de 12 (doze) unidades de um sistema eletrônico Environmental Data Collector (EDC) e fornecimento de componentes eletrônicos externos auxiliares para este sistema, chamados de Eletronic Ground Support Equipments (EGSE),conforme Termo de Referência.",https://www.comprasnet.gov.br/acesso.asp?url=/proposta-203001-06-00007-2023,,,,89384.4,86900545000170-1-000009/2023,8,5,Não se aplica,Compras.gov.br,89384.4,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '01263896000164', 'razaoSocial': 'MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES', 'poderId': 'E', 'esferaId': 'F'}",2023,22,2023-02-16T11:27:43,2023-02-16T11:27:43,2023-02-16T11:27:43,00025,"{'ufNome': 'Rio de Janeiro', 'codigoUnidade': '240126', 'nomeUnidade': 'OBSERVATORIO NACIONAL - RJ', 'ufSigla': 'RJ', 'municipioNome': 'Rio de Janeiro', 'codigoIbge': '3304557'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,"Conforme Art. 75º, Inciso IV, c da Lei nº 14.133 de 1º/04/2021.",01210000025202303,"Complemento de desembaraço alfandegário, referente aquisição de aquisição de magnetômetro SENSYS MAGDRONE R3 acoplado ao drone DJI M300RTK.",https://www.comprasnet.gov.br/acesso.asp?url=/proposta-240126-06-00025-2023,,,,15000.0,01263896000164-1-000022/2023,8,5,Não se aplica,Compras.gov.br,15000.0,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,28,2023-02-16T15:14:58,2023-02-16T15:14:58,2023-02-16T15:14:58,07338,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,Não é possível usar outros exportadores porque os genes sintéticos deste pedido serão futuramente usados para combinar.,01300007338202294,Genes sintéticos para engenharia metabólica de leveduras industriais.,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-07338-2023,,,,12830.83,33654831000136-1-000028/2023,8,5,Não se aplica,Compras.gov.br,12830.83,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,29,2023-02-16T15:27:11,2023-02-16T15:27:11,2023-02-16T15:27:11,07356,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,A AdInstruments tem equipamento de alta qualidade que já foi testado na PUC-SP,01300007356202276,Interface do instrumento.,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-07356-2023,,,,53730.5,33654831000136-1-000029/2023,8,5,Não se aplica,Compras.gov.br,53730.5,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
